sample_id,module_id,group_module_id,label_damaged,label_role,chip_BVCE3_1m,chip_ICES7_1330,chip_IGE4_30,chip_IGE5_R30,chip_RG,chip_VCE5_200,chip_VTH5_10m,chip_position,dbc_location,label_note,process_anomaly_feature_count_z_ge_2,process_anomaly_max_z,process_anomaly_score,source_row,top_anomaly_features
E3003161ABV40298001001K21201308__row_30,E3003161ABV40298001001K21201308,E3003161ABV40298001001K21201308,0,candidate_negative,1348.593,42.002,2.635,-4.239,2.174,1.552,5.707,5,V,uncolored chip row; temporary candidate negative under chip-independence assumption,0,1.0809,75.3623,30,
E3003161ABV40298001001K21201308__row_31,E3003161ABV40298001001K21201308,E3003161ABV40298001001K21201308,0,candidate_negative,1348.886,38.586,2.538,-4.678,2.182,1.548,5.712,6,V,uncolored chip row; temporary candidate negative under chip-independence assumption,0,1.1458,78.1009,31,
E3003161ABV40298001001K21201308__row_32,E3003161ABV40298001001K21201308,E3003161ABV40298001001K21201308,0,candidate_negative,1353.07,41.855,2.977,-5.898,2.173,1.547,5.704,1,W,uncolored chip row; temporary candidate negative under chip-independence assumption,1,2.072,127.465,32,chip_BVCE3_1m:2.07
E3003161ABV40298001001K21201308__row_33,E3003161ABV40298001001K21201308,E3003161ABV40298001001K21201308,0,candidate_negative,1349.522,45.71,2.684,-7.069,2.184,1.545,5.707,2,W,uncolored chip row; temporary candidate negative under chip-independence assumption,0,1.2866,82.2068,33,
E3003161ABV40298001001K21201308__row_34,E3003161ABV40298001001K21201308,E3003161ABV40298001001K21201308,0,candidate_negative,1348.886,43.27,2.489,-8.533,2.186,1.548,5.713,3,W,uncolored chip row; temporary candidate negative under chip-independence assumption,0,1.1458,76.6352,34,
E3003161ABV40298001001K21201308__row_35,E3003161ABV40298001001K21201308,E3003161ABV40298001001K21201308,0,candidate_negative,1350.409,39.22,2.782,-9.362,2.187,1.547,5.717,4,W,uncolored chip row; temporary candidate negative under chip-independence assumption,0,1.4829,93.3037,35,
E3003161ABV40298001001K21201308__row_36,E3003161ABV40298001001K21201308,E3003161ABV40298001001K21201308,0,candidate_negative,1353.556,45.612,2.635,-9.021,2.174,1.548,5.723,5,W,uncolored chip row; temporary candidate negative under chip-independence assumption,1,2.1795,134.2369,36,chip_BVCE3_1m:2.18
E3003161ABV40298001001K21201308__row_37,E3003161ABV40298001001K21201308,E3003161ABV40298001001K21201308,0,candidate_negative,1348.459,43.612,2.635,-7.655,2.174,1.547,5.723,6,W,uncolored chip row; temporary candidate negative under chip-independence assumption,0,1.0512,73.1199,37,
E3003161ABV40298001001K21800896__row_38,E3003161ABV40298001001K21800896,E3003161ABV40298001001K21800896,0,candidate_negative,1341.0,143.0,6.3,-32.2,2.219,1.527,5.556,1,U,uncolored chip row; temporary candidate negative under chip-independence assumption,1,2.5501,148.9224,38,chip_VTH5_10m:2.55
E3003161ABV40298001001K21800896__row_39,E3003161ABV40298001001K21800896,E3003161ABV40298001001K21800896,0,candidate_negative,1341.0,147.0,6.2,-28.9,2.225,1.527,5.522,2,U,uncolored chip row; temporary candidate negative under chip-independence assumption,1,3.1784,179.5169,39,chip_VTH5_10m:3.18
E3003161ABV40298001001K21800896__row_40,E3003161ABV40298001001K21800896,E3003161ABV40298001001K21800896,0,candidate_negative,1341.0,128.0,6.0,-28.1,2.244,1.527,5.508,3,U,uncolored chip row; temporary candidate negative under chip-independence assumption,1,3.4371,190.7738,40,chip_VTH5_10m:3.44
E3003161ABV40298001001K21800896__row_41,E3003161ABV40298001001K21800896,E3003161ABV40298001001K21800896,0,candidate_negative,1341.0,126.0,6.0,-28.2,2.246,1.527,5.499,4,U,uncolored chip row; temporary candidate negative under chip-independence assumption,1,3.6034,198.9932,41,chip_VTH5_10m:3.60
E3003161ABV40298001001K21800896__row_42,E3003161ABV40298001001K21800896,E3003161ABV40298001001K21800896,0,candidate_negative,1341.0,136.0,6.1,-30.0,2.225,1.526,5.532,5,U,uncolored chip row; temporary candidate negative under chip-independence assumption,1,2.9936,169.3822,42,chip_VTH5_10m:2.99
E3003161ABV40298001001K21800896__row_43,E3003161ABV40298001001K21800896,E3003161ABV40298001001K21800896,0,candidate_negative,1341.0,142.0,6.3,-33.3,2.218,1.525,5.558,6,U,uncolored chip row; temporary candidate negative under chip-independence assumption,1,2.5132,147.7745,43,chip_VTH5_10m:2.51
E3003161ABV40298001001K21800896__row_44,E3003161ABV40298001001K21800896,E3003161ABV40298001001K21800896,0,candidate_negative,1341.0,150.0,6.5,-37.2,2.174,1.514,5.606,1,V,uncolored chip row; temporary candidate negative under chip-independence assumption,0,1.6262,105.6231,44,
E3003161ABV40298001001K21800896__row_45,E3003161ABV40298001001K21800896,E3003161ABV40298001001K21800896,0,candidate_negative,1341.0,154.0,6.5,-36.0,2.168,1.511,5.608,2,V,uncolored chip row; temporary candidate negative under chip-independence assumption,0,1.5892,104.9993,45,
E3003161ABV40298001001K21800896__row_46,E3003161ABV40298001001K21800896,E3003161ABV40298001001K21800896,0,candidate_negative,1341.0,167.0,6.4,-35.7,2.166,1.495,5.591,3,V,uncolored chip row; temporary candidate negative under chip-independence assumption,0,1.9034,126.0152,46,
E3003161ABV40298001001K21800896__row_47,E3003161ABV40298001001K21800896,E3003161ABV40298001001K21800896,0,candidate_negative,1341.0,157.0,6.3,-38.1,2.087,1.488,5.63,4,V,uncolored chip row; temporary candidate negative under chip-independence assumption,1,2.1983,145.8081,47,chip_VCE5_200:2.20
E3003161ABV40298001001K21800896__row_48,E3003161ABV40298001001K21800896,E3003161ABV40298001001K21800896,0,candidate_negative,1341.0,162.0,6.2,-36.2,2.156,1.497,5.61,5,V,uncolored chip row; temporary candidate negative under chip-independence assumption,0,1.7487,116.5274,48,
E3003161ABV40298001001K21800896__row_49,E3003161ABV40298001001K21800896,E3003161ABV40298001001K21800896,0,candidate_negative,1341.0,155.0,6.4,-36.5,2.172,1.511,5.61,6,V,uncolored chip row; temporary candidate negative under chip-independence assumption,0,1.5523,102.999,49,
E3003161ABV40298001001K21800896__row_50,E3003161ABV40298001001K21800896,E3003161ABV40298001001K21800896,0,candidate_negative,1341.0,147.0,6.3,-30.0,2.182,1.517,5.603,1,W,uncolored chip row; temporary candidate negative under chip-independence assumption,0,1.6816,104.8407,50,
E3003161ABV40298001001K21800896__row_51,E3003161ABV40298001001K21800896,E3003161ABV40298001001K21800896,0,candidate_negative,1341.0,138.0,6.3,-32.2,2.179,1.522,5.623,2,W,uncolored chip row; temporary candidate negative under chip-independence assumption,0,1.312,84.7823,51,
E3003161ABV40298001001K21800896__row_52,E3003161ABV40298001001K21800896,E3003161ABV40298001001K21800896,1,marked_damaged,1341.0,145.0,6.5,-34.4,2.173,1.521,5.64,3,W,colored chip row; treated as temporary damaged label,0,1.3253,86.0231,52,
E3003161ABV40298001001K21800896__row_53,E3003161ABV40298001001K21800896,E3003161ABV40298001001K21800896,0,candidate_negative,1341.0,151.0,6.5,-35.7,2.177,1.523,5.657,4,W,uncolored chip row; temporary candidate negative under chip-independence assumption,0,1.4595,90.7632,53,
E3003161ABV40298001001K21800896__row_54,E3003161ABV40298001001K21800896,E3003161ABV40298001001K21800896,0,candidate_negative,1341.0,153.0,6.6,-36.9,2.164,1.522,5.648,5,W,uncolored chip row; temporary candidate negative under chip-independence assumption,0,1.5042,95.2149,54,
E3003161ABV40298001001K21800896__row_55,E3003161ABV40298001001K21800896,E3003161ABV40298001001K21800896,0,candidate_negative,1341.0,152.0,6.6,-37.1,2.167,1.522,5.653,6,W,uncolored chip row; temporary candidate negative under chip-independence assumption,0,1.4819,93.5262,55,
E3003161ABV40298001001K22002764__row_56,E3003161ABV40298001001K22002764,E3003161ABV40298001001K22002764,1,marked_damaged,1341.0,75.0,6.8,-38.3,2.257,1.528,5.729,1,U,colored chip row; treated as temporary damaged label,0,0.8051,54.0958,56,
E3003161ABV40298001001K22002764__row_57,E3003161ABV40298001001K22002764,E3003161ABV40298001001K22002764,0,candidate_negative,1341.0,74.0,6.8,-37.6,2.251,1.524,5.743,2,U,uncolored chip row; temporary candidate negative under chip-independence assumption,0,0.9055,60.5419,57,
E3003161ABV40298001001K22002764__row_58,E3003161ABV40298001001K22002764,E3003161ABV40298001001K22002764,0,candidate_negative,1341.0,71.0,6.8,-36.5,2.237,1.526,5.737,3,U,uncolored chip row; temporary candidate negative under chip-independence assumption,0,0.7946,53.8473,58,
E3003161ABV40298001001K22002764__row_59,E3003161ABV40298001001K22002764,E3003161ABV40298001001K22002764,0,candidate_negative,1341.0,74.0,6.8,-35.0,2.225,1.528,5.73,4,U,uncolored chip row; temporary candidate negative under chip-independence assumption,0,0.7494,49.3541,59,
E3003161ABV40298001001K22002764__row_60,E3003161ABV40298001001K22002764,E3003161ABV40298001001K22002764,0,candidate_negative,1341.0,70.0,6.7,-33.2,2.225,1.531,5.721,5,U,uncolored chip row; temporary candidate negative under chip-independence assumption,0,0.7144,46.0439,60,
E3003161ABV40298001001K22002764__row_61,E3003161ABV40298001001K22002764,E3003161ABV40298001001K22002764,0,candidate_negative,1340.0,64.0,6.6,-31.4,2.215,1.527,5.71,6,U,uncolored chip row; temporary candidate negative under chip-independence assumption,0,0.8213,52.5307,61,
E3003161ABV40298001001K22002764__row_62,E3003161ABV40298001001K22002764,E3003161ABV40298001001K22002764,0,candidate_negative,1341.0,92.0,6.6,-39.5,2.39,1.521,5.718,1,V,uncolored chip row; temporary candidate negative under chip-independence assumption,0,1.7122,101.9786,62,
E3003161ABV40298001001K22002764__row_63,E3003161ABV40298001001K22002764,E3003161ABV40298001001K22002764,0,candidate_negative,1341.0,85.0,6.5,-38.4,2.388,1.515,5.72,2,V,uncolored chip row; temporary candidate negative under chip-independence assumption,0,1.6914,101.5742,63,
E3003161ABV40298001001K22002764__row_64,E3003161ABV40298001001K22002764,E3003161ABV40298001001K22002764,0,candidate_negative,1341.0,75.0,6.4,-39.0,2.394,1.511,5.746,3,V,uncolored chip row; temporary candidate negative under chip-independence assumption,0,1.7537,109.1741,64,
E3003161ABV40298001001K22002764__row_65,E3003161ABV40298001001K22002764,E3003161ABV40298001001K22002764,0,candidate_negative,1341.0,77.0,6.5,-39.5,2.387,1.515,5.743,4,V,uncolored chip row; temporary candidate negative under chip-independence assumption,0,1.681,104.3355,65,
E3003161ABV40298001001K22002764__row_66,E3003161ABV40298001001K22002764,E3003161ABV40298001001K22002764,0,candidate_negative,1341.0,85.0,6.6,-39.4,2.381,1.514,5.727,5,V,uncolored chip row; temporary candidate negative under chip-independence assumption,0,1.6188,99.2506,66,
E3003161ABV40298001001K22002764__row_67,E3003161ABV40298001001K22002764,E3003161ABV40298001001K22002764,0,candidate_negative,1341.0,97.0,6.7,-40.3,2.384,1.517,5.718,6,V,uncolored chip row; temporary candidate negative under chip-independence assumption,0,1.6499,100.7884,67,
E3003161ABV40298001001K22002764__row_68,E3003161ABV40298001001K22002764,E3003161ABV40298001001K22002764,0,candidate_negative,1341.0,80.0,6.8,-43.0,2.408,1.52,5.716,1,W,uncolored chip row; temporary candidate negative under chip-independence assumption,0,1.899,112.5055,68,
E3003161ABV40298001001K22002764__row_69,E3003161ABV40298001001K22002764,E3003161ABV40298001001K22002764,0,candidate_negative,1341.0,82.0,6.8,-44.5,2.422,1.517,5.727,2,W,uncolored chip row; temporary candidate negative under chip-independence assumption,1,2.0442,126.6663,69,chip_RG:2.04
E3003161ABV40298001001K22002764__row_70,E3003161ABV40298001001K22002764,E3003161ABV40298001001K22002764,0,candidate_negative,1341.0,85.0,6.7,-45.7,2.423,1.522,5.731,3,W,uncolored chip row; temporary candidate negative under chip-independence assumption,1,2.0546,126.0792,70,chip_RG:2.05
E3003161ABV40298001001K22002764__row_71,E3003161ABV40298001001K22002764,E3003161ABV40298001001K22002764,0,candidate_negative,1341.0,85.0,6.7,-46.1,2.421,1.518,5.725,4,W,uncolored chip row; temporary candidate negative under chip-independence assumption,1,2.0338,125.581,71,chip_RG:2.03
E3003161ABV40298001001K22002764__row_72,E3003161ABV40298001001K22002764,E3003161ABV40298001001K22002764,0,candidate_negative,1341.0,84.0,6.6,-45.6,2.408,1.525,5.717,5,W,uncolored chip row; temporary candidate negative under chip-independence assumption,0,1.899,111.1667,72,
E3003161ABV40298001001K22002764__row_73,E3003161ABV40298001001K22002764,E3003161ABV40298001001K22002764,0,candidate_negative,1341.0,80.0,6.7,-44.3,2.403,1.519,5.713,6,W,uncolored chip row; temporary candidate negative under chip-independence assumption,0,1.8471,110.0165,73,
