sample_id,module_id,group_module_id,source_row,dbc_location,chip_position,label_damaged,label_role,process_anomaly_score,process_anomaly_max_z,process_anomaly_feature_count_z_ge_2,top_anomaly_features,label_note
E3003161ABV40298001001K21200697__row_5,E3003161ABV40298001001K21200697,E3003161ABV40298001001K21200697,5,U,4,0,candidate_negative,160.0218,2.6461,1,chip_RG:2.65,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21200697__row_11,E3003161ABV40298001001K21200697,E3003161ABV40298001001K21200697,11,V,4,1,marked_damaged,155.8859,2.3263,2,chip_BVCE3_1m:2.33; chip_RG:2.28,colored chip row; treated as temporary damaged label
E3003161ABV40298001001K21200697__row_10,E3003161ABV40298001001K21200697,E3003161ABV40298001001K21200697,10,V,3,0,candidate_negative,155.7093,2.3763,2,chip_RG:2.38; chip_BVCE3_1m:2.11,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21200697__row_7,E3003161ABV40298001001K21200697,E3003161ABV40298001001K21200697,7,U,6,0,candidate_negative,154.2614,2.5942,1,chip_RG:2.59,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21201308__row_27,E3003161ABV40298001001K21201308,E3003161ABV40298001001K21201308,27,V,2,0,candidate_negative,154.1644,2.566,1,chip_BVCE3_1m:2.57,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21200697__row_16,E3003161ABV40298001001K21200697,E3003161ABV40298001001K21200697,16,W,3,0,candidate_negative,151.9372,2.5423,1,chip_RG:2.54,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21200697__row_9,E3003161ABV40298001001K21200697,E3003161ABV40298001001K21200697,9,V,2,0,candidate_negative,150.4167,2.4178,1,chip_RG:2.42,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21200697__row_13,E3003161ABV40298001001K21200697,E3003161ABV40298001001K21200697,13,V,6,0,candidate_negative,149.6984,2.397,1,chip_RG:2.40,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21200697__row_8,E3003161ABV40298001001K21200697,E3003161ABV40298001001K21200697,8,V,1,0,candidate_negative,149.3691,2.3555,1,chip_RG:2.36,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21800896__row_38,E3003161ABV40298001001K21800896,E3003161ABV40298001001K21800896,38,U,1,0,candidate_negative,148.9224,2.5501,1,chip_VTH5_10m:2.55,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21200697__row_6,E3003161ABV40298001001K21200697,E3003161ABV40298001001K21200697,6,U,5,0,candidate_negative,148.6458,2.4904,1,chip_RG:2.49,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21200697__row_12,E3003161ABV40298001001K21200697,E3003161ABV40298001001K21200697,12,V,5,0,candidate_negative,148.1175,2.3867,1,chip_RG:2.39,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21800896__row_43,E3003161ABV40298001001K21800896,E3003161ABV40298001001K21800896,43,U,6,0,candidate_negative,147.7745,2.5132,1,chip_VTH5_10m:2.51,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21800896__row_47,E3003161ABV40298001001K21800896,E3003161ABV40298001001K21800896,47,V,4,0,candidate_negative,145.8081,2.1983,1,chip_VCE5_200:2.20,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21201308__row_22,E3003161ABV40298001001K21201308,E3003161ABV40298001001K21201308,22,U,3,0,candidate_negative,141.9523,2.3531,1,chip_BVCE3_1m:2.35,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21200697__row_15,E3003161ABV40298001001K21200697,E3003161ABV40298001001K21200697,15,W,2,0,candidate_negative,138.0446,2.3555,1,chip_RG:2.36,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21201308__row_36,E3003161ABV40298001001K21201308,E3003161ABV40298001001K21201308,36,W,5,0,candidate_negative,134.2369,2.1795,1,chip_BVCE3_1m:2.18,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21200697__row_14,E3003161ABV40298001001K21200697,E3003161ABV40298001001K21200697,14,W,1,0,candidate_negative,130.2363,2.231,1,chip_RG:2.23,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21201308__row_32,E3003161ABV40298001001K21201308,E3003161ABV40298001001K21201308,32,W,1,0,candidate_negative,127.465,2.072,1,chip_BVCE3_1m:2.07,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K22002764__row_69,E3003161ABV40298001001K22002764,E3003161ABV40298001001K22002764,69,W,2,0,candidate_negative,126.6663,2.0442,1,chip_RG:2.04,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K22002764__row_70,E3003161ABV40298001001K22002764,E3003161ABV40298001001K22002764,70,W,3,0,candidate_negative,126.0792,2.0546,1,chip_RG:2.05,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21800896__row_46,E3003161ABV40298001001K21800896,E3003161ABV40298001001K21800896,46,V,3,0,candidate_negative,126.0152,1.9034,0,,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K22002764__row_71,E3003161ABV40298001001K22002764,E3003161ABV40298001001K22002764,71,W,4,0,candidate_negative,125.581,2.0338,1,chip_RG:2.03,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21800896__row_48,E3003161ABV40298001001K21800896,E3003161ABV40298001001K21800896,48,V,5,0,candidate_negative,116.5274,1.7487,0,,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21201308__row_23,E3003161ABV40298001001K21201308,E3003161ABV40298001001K21201308,23,U,4,0,candidate_negative,116.2403,1.9358,0,,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21201308__row_29,E3003161ABV40298001001K21201308,E3003161ABV40298001001K21201308,29,V,4,0,candidate_negative,113.3736,1.8785,0,,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K22002764__row_68,E3003161ABV40298001001K22002764,E3003161ABV40298001001K22002764,68,W,1,0,candidate_negative,112.5055,1.899,0,,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K22002764__row_72,E3003161ABV40298001001K22002764,E3003161ABV40298001001K22002764,72,W,5,0,candidate_negative,111.1667,1.899,0,,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K22002764__row_73,E3003161ABV40298001001K22002764,E3003161ABV40298001001K22002764,73,W,6,0,candidate_negative,110.0165,1.8471,0,,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21201308__row_28,E3003161ABV40298001001K21201308,E3003161ABV40298001001K21201308,28,V,3,0,candidate_negative,109.8359,1.7474,0,,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K22002764__row_64,E3003161ABV40298001001K22002764,E3003161ABV40298001001K22002764,64,V,3,0,candidate_negative,109.1741,1.7537,0,,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21800896__row_44,E3003161ABV40298001001K21800896,E3003161ABV40298001001K21800896,44,V,1,0,candidate_negative,105.6231,1.6262,0,,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21800896__row_45,E3003161ABV40298001001K21800896,E3003161ABV40298001001K21800896,45,V,2,0,candidate_negative,104.9993,1.5892,0,,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21800896__row_50,E3003161ABV40298001001K21800896,E3003161ABV40298001001K21800896,50,W,1,0,candidate_negative,104.8407,1.6816,0,,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K22002764__row_65,E3003161ABV40298001001K22002764,E3003161ABV40298001001K22002764,65,V,4,0,candidate_negative,104.3355,1.681,0,,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21201308__row_26,E3003161ABV40298001001K21201308,E3003161ABV40298001001K21201308,26,V,1,0,candidate_negative,103.9833,1.6868,0,,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21800896__row_49,E3003161ABV40298001001K21800896,E3003161ABV40298001001K21800896,49,V,6,0,candidate_negative,102.999,1.5523,0,,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K22002764__row_62,E3003161ABV40298001001K22002764,E3003161ABV40298001001K22002764,62,V,1,0,candidate_negative,101.9786,1.7122,0,,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K22002764__row_63,E3003161ABV40298001001K22002764,E3003161ABV40298001001K22002764,63,V,2,0,candidate_negative,101.5742,1.6914,0,,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K22002764__row_67,E3003161ABV40298001001K22002764,E3003161ABV40298001001K22002764,67,V,6,0,candidate_negative,100.7884,1.6499,0,,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K22002764__row_66,E3003161ABV40298001001K22002764,E3003161ABV40298001001K22002764,66,V,5,0,candidate_negative,99.2506,1.6188,0,,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21201308__row_21,E3003161ABV40298001001K21201308,E3003161ABV40298001001K21201308,21,U,2,0,candidate_negative,99.0336,1.5768,0,,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21800896__row_54,E3003161ABV40298001001K21800896,E3003161ABV40298001001K21800896,54,W,5,0,candidate_negative,95.2149,1.5042,0,,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21800896__row_55,E3003161ABV40298001001K21800896,E3003161ABV40298001001K21800896,55,W,6,0,candidate_negative,93.5262,1.4819,0,,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21201308__row_35,E3003161ABV40298001001K21201308,E3003161ABV40298001001K21201308,35,W,4,0,candidate_negative,93.3037,1.4829,0,,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21800896__row_53,E3003161ABV40298001001K21800896,E3003161ABV40298001001K21800896,53,W,4,0,candidate_negative,90.7632,1.4595,0,,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21201308__row_20,E3003161ABV40298001001K21201308,E3003161ABV40298001001K21201308,20,U,1,1,marked_damaged,89.5834,1.4034,0,,colored chip row; treated as temporary damaged label
E3003161ABV40298001001K21800896__row_52,E3003161ABV40298001001K21800896,E3003161ABV40298001001K21800896,52,W,3,1,marked_damaged,86.0231,1.3253,0,,colored chip row; treated as temporary damaged label
E3003161ABV40298001001K21800896__row_51,E3003161ABV40298001001K21800896,E3003161ABV40298001001K21800896,51,W,2,0,candidate_negative,84.7823,1.312,0,,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21201308__row_24,E3003161ABV40298001001K21201308,E3003161ABV40298001001K21201308,24,U,5,0,candidate_negative,83.7585,1.3634,0,,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21201308__row_33,E3003161ABV40298001001K21201308,E3003161ABV40298001001K21201308,33,W,2,0,candidate_negative,82.2068,1.2866,0,,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21201308__row_31,E3003161ABV40298001001K21201308,E3003161ABV40298001001K21201308,31,V,6,0,candidate_negative,78.1009,1.1458,0,,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21201308__row_34,E3003161ABV40298001001K21201308,E3003161ABV40298001001K21201308,34,W,3,0,candidate_negative,76.6352,1.1458,0,,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21201308__row_30,E3003161ABV40298001001K21201308,E3003161ABV40298001001K21201308,30,V,5,0,candidate_negative,75.3623,1.0809,0,,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21201308__row_37,E3003161ABV40298001001K21201308,E3003161ABV40298001001K21201308,37,W,6,0,candidate_negative,73.1199,1.0512,0,,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K21201308__row_25,E3003161ABV40298001001K21201308,E3003161ABV40298001001K21201308,25,U,6,0,candidate_negative,68.2279,1.0168,0,,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K22002764__row_57,E3003161ABV40298001001K22002764,E3003161ABV40298001001K22002764,57,U,2,0,candidate_negative,60.5419,0.9055,0,,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K22002764__row_56,E3003161ABV40298001001K22002764,E3003161ABV40298001001K22002764,56,U,1,1,marked_damaged,54.0958,0.8051,0,,colored chip row; treated as temporary damaged label
E3003161ABV40298001001K22002764__row_58,E3003161ABV40298001001K22002764,E3003161ABV40298001001K22002764,58,U,3,0,candidate_negative,53.8473,0.7946,0,,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K22002764__row_61,E3003161ABV40298001001K22002764,E3003161ABV40298001001K22002764,61,U,6,0,candidate_negative,52.5307,0.8213,0,,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K22002764__row_59,E3003161ABV40298001001K22002764,E3003161ABV40298001001K22002764,59,U,4,0,candidate_negative,49.3541,0.7494,0,,uncolored chip row; temporary candidate negative under chip-independence assumption
E3003161ABV40298001001K22002764__row_60,E3003161ABV40298001001K22002764,E3003161ABV40298001001K22002764,60,U,5,0,candidate_negative,46.0439,0.7144,0,,uncolored chip row; temporary candidate negative under chip-independence assumption
